Cumulative Visit,Study Area,Site,,AreaSite,Species,SumOfInvestigative,SumOfCloseness,Pics_Visit,Prop_Investigative,Prop_Close,VegType
354,BLM,Site,108,BLMSite108,KitFox,4,3,6,0.666666667,0.5,Shrub
355,BLM,Site,108,BLMSite108,KitFox,2,2,3,0.666666667,0.666666667,Shrub
366,BLM,Site,108,BLMSite108,KitFox,3,5,6,0.5,0.833333333,Shrub
367,BLM,Site,108,BLMSite108,KitFox,0,0,2,0,0,Shrub
368,BLM,Site,108,BLMSite108,KitFox,1,0,1,1,0,Shrub
369,BLM,Site,108,BLMSite108,KitFox,3,0,3,1,0,Shrub
371,BLM,Site,108,BLMSite108,KitFox,6,3,6,1,0.5,Shrub
315,BLM,Site,109,BLMSite109,KitFox,3,2,3,1,0.666666667,Shrub
361,BLM,Site,109,BLMSite109,KitFox,1,0,3,0.333333333,0,Shrub
362,BLM,Site,109,BLMSite109,KitFox,0,0,1,0,0,Shrub
615,BLM,Site,109,BLMSite109,KitFox,3,1,3,1,0.333333333,Shrub
628,BLM,Site,109,BLMSite109,KitFox,3,3,3,1,1,Shrub
638,BLM,Site,109,BLMSite109,KitFox,2,0,3,0.666666667,0,Shrub
643,BLM,Site,109,BLMSite109,KitFox,3,3,6,0.5,0.5,Shrub
647,BLM,Site,109,BLMSite109,KitFox,0,0,3,0,0,Shrub
648,BLM,Site,109,BLMSite109,KitFox,3,2,5,0.6,0.4,Shrub
649,BLM,Site,109,BLMSite109,KitFox,3,6,6,0.5,1,Shrub
669,BLM,Site,109,BLMSite109,KitFox,2,1,3,0.666666667,0.333333333,Shrub
678,BLM,Site,109,BLMSite109,KitFox,1,0,3,0.333333333,0,Shrub
407,BLM,Site,111,BLMSite111,KitFox,8,7,9,0.888888889,0.777777778,Shrub
410,BLM,Site,111,BLMSite111,KitFox,3,0,5,0.6,0,Shrub
640,BLM,Site,113,BLMSite113,KitFox,0,0,1,0,0,Shrub
995,BLM,Site,115,BLMSite115,KitFox,3,0,3,1,0,Shrub
998,BLM,Site,115,BLMSite115,KitFox,11,2,13,0.846153846,0.153846154,Shrub
1002,BLM,Site,115,BLMSite115,KitFox,2,0,2,1,0,Shrub
167,BLM,Site,120,BLMSite120,KitFox,3,0,3,1,0,Shrub
328,BLM,Site,120,BLMSite120,KitFox,3,0,3,1,0,Shrub
346,BLM,Site,120,BLMSite120,KitFox,1,0,3,0.333333333,0,Shrub
347,BLM,Site,120,BLMSite120,KitFox,0,3,3,0,1,Shrub
858,BLM,Site,122,BLMSite122,KitFox,3,3,3,1,1,Shrub
861,BLM,Site,122,BLMSite122,KitFox,3,3,3,1,1,Shrub
902,BLM,Site,122,BLMSite122,KitFox,3,3,6,0.5,0.5,Shrub
903,BLM,Site,122,BLMSite122,KitFox,6,6,8,0.75,0.75,Shrub
340,BLM,Site,123,BLMSite123,KitFox,4,4,4,1,1,Shrub
526,BLM,Site,124,BLMSite124,KitFox,0,1,2,0,0.5,Shrub
849,BLM,Site,124,BLMSite124,KitFox,2,0,3,0.666666667,0,Shrub
859,BLM,Site,124,BLMSite124,KitFox,3,3,3,1,1,Shrub
52,BLM,Site,125,BLMSite125,KitFox,8,4,9,0.888888889,0.444444444,Shrub
59,BLM,Site,125,BLMSite125,KitFox,1,0,3,0.333333333,0,Shrub
60,BLM,Site,125,BLMSite125,KitFox,2,0,3,0.666666667,0,Shrub
83,BLM,Site,125,BLMSite125,KitFox,5,6,7,0.714285714,0.857142857,Shrub
127,BLM,Site,125,BLMSite125,KitFox,3,0,3,1,0,Shrub
149,BLM,Site,125,BLMSite125,KitFox,3,0,3,1,0,Shrub
164,BLM,Site,125,BLMSite125,KitFox,3,0,3,1,0,Shrub
165,BLM,Site,125,BLMSite125,KitFox,3,3,3,1,1,Shrub
186,BLM,Site,125,BLMSite125,KitFox,4,1,5,0.8,0.2,Shrub
208,BLM,Site,125,BLMSite125,KitFox,3,1,3,1,0.333333333,Shrub
605,BLM,Site,125,BLMSite125,KitFox,1,0,3,0.333333333,0,Shrub
848,BLM,Site,125,BLMSite125,KitFox,3,3,3,1,1,Shrub
342,BLM,Site,127,BLMSite127,KitFox,2,3,3,0.666666667,1,Shrub
349,BLM,Site,127,BLMSite127,KitFox,3,3,3,1,1,Shrub
860,BLM,Site,127,BLMSite127,KitFox,3,0,3,1,0,Shrub
886,BLM,Site,127,BLMSite127,KitFox,3,3,3,1,1,Shrub
904,BLM,Site,127,BLMSite127,KitFox,3,1,3,1,0.333333333,Shrub
905,BLM,Site,127,BLMSite127,KitFox,2,3,3,0.666666667,1,Shrub
906,BLM,Site,127,BLMSite127,KitFox,6,2,6,1,0.333333333,Shrub
907,BLM,Site,127,BLMSite127,KitFox,2,0,2,1,0,Shrub
921,BLM,Site,127,BLMSite127,KitFox,2,0,3,0.666666667,0,Shrub
383,BLM,Site,129,BLMSite129,KitFox,3,1,3,1,0.333333333,Shrub
393,BLM,Site,129,BLMSite129,KitFox,0,0,1,0,0,Shrub
928,BLM,Site,129,BLMSite129,KitFox,0,0,1,0,0,Shrub
999,BLM,Site,131,BLMSite131,KitFox,8,9,9,0.888888889,1,Shrub
382,BLM,Site,132,BLMSite132,KitFox,3,3,3,1,1,Shrub
996,BLM,Site,132,BLMSite132,KitFox,5,3,6,0.833333333,0.5,Shrub
1007,BLM,Site,132,BLMSite132,KitFox,0,0,2,0,0,Shrub
86,BLM,Site,136,BLMSite136,KitFox,3,3,3,1,1,Shrub
146,BLM,Site,136,BLMSite136,KitFox,3,3,3,1,1,Shrub
173,BLM,Site,136,BLMSite136,KitFox,3,3,3,1,1,Shrub
306,BLM,Site,138,BLMSite138,KitFox,0,0,3,0,0,Shrub
337,BLM,Site,138,BLMSite138,KitFox,4,1,5,0.8,0.2,Shrub
599,BLM,Site,138,BLMSite138,KitFox,0,0,3,0,0,Shrub
845,BLM,Site,138,BLMSite138,KitFox,3,3,3,1,1,Shrub
559,BLM,Site,139,BLMSite139,KitFox,6,5,6,1,0.833333333,Shrub
592,BLM,Site,139,BLMSite139,KitFox,1,3,3,0.333333333,1,Shrub
598,BLM,Site,139,BLMSite139,KitFox,3,3,3,1,1,Shrub
891,BLM,Site,139,BLMSite139,KitFox,2,3,3,0.666666667,1,Shrub
567,BLM,Site,140,BLMSite140,KitFox,3,1,3,1,0.333333333,Shrub
527,BLM,Site,141,BLMSite141,KitFox,1,0,3,0.333333333,0,Shrub
546,BLM,Site,141,BLMSite141,KitFox,3,0,3,1,0,Shrub
547,BLM,Site,141,BLMSite141,KitFox,1,2,2,0.5,1,Shrub
890,BLM,Site,141,BLMSite141,KitFox,2,2,2,1,1,Shrub
917,BLM,Site,141,BLMSite141,KitFox,3,3,3,1,1,Shrub
918,BLM,Site,141,BLMSite141,KitFox,3,2,3,1,0.666666667,Shrub
919,BLM,Site,141,BLMSite141,KitFox,3,1,3,1,0.333333333,Shrub
920,BLM,Site,141,BLMSite141,KitFox,3,2,3,1,0.666666667,Shrub
106,BLM,Site,146,BLMSite146,KitFox,5,3,9,0.555555556,0.333333333,Shrub
109,BLM,Site,146,BLMSite146,KitFox,2,1,3,0.666666667,0.333333333,Shrub
390,BLM,Site,147B,BLMSite147B,KitFox,6,6,6,1,1,Shrub
394,BLM,Site,147B,BLMSite147B,KitFox,1,1,3,0.333333333,0.333333333,Shrub
406,BLM,Site,147B,BLMSite147B,KitFox,1,2,2,0.5,1,Shrub
619,BLM,Site,148,BLMSite148,KitFox,0,0,1,0,0,Shrub
937,BLM,Site,148,BLMSite148,KitFox,2,0,2,1,0,Shrub
960,BLM,Site,149,BLMSite149,KitFox,3,3,3,1,1,Shrub
414,BLM,Site,15,BLMSite15,KitFox,1,1,1,1,1,Shrub
433,BLM,Site,15,BLMSite15,KitFox,0,0,2,0,0,Shrub
544,BLM,Site,155,BLMSite155,KitFox,7,9,11,0.636363636,0.818181818,Shrub
35,BLM,Site,157,BLMSite157,KitFox,4,3,9,0.444444444,0.333333333,Shrub
90,BLM,Site,157,BLMSite157,KitFox,5,3,5,1,0.6,Shrub
108,BLM,Site,157,BLMSite157,KitFox,3,4,8,0.375,0.5,Shrub
112,BLM,Site,157,BLMSite157,KitFox,1,2,2,0.5,1,Shrub
134,BLM,Site,157,BLMSite157,KitFox,1,1,2,0.5,0.5,Shrub
155,BLM,Site,157,BLMSite157,KitFox,3,2,6,0.5,0.333333333,Shrub
196,BLM,Site,157,BLMSite157,KitFox,0,0,1,0,0,Shrub
206,BLM,Site,157,BLMSite157,KitFox,4,3,6,0.666666667,0.5,Shrub
536,BLM,Site,157,BLMSite157,KitFox,1,1,1,1,1,Shrub
540,BLM,Site,157,BLMSite157,KitFox,1,1,1,1,1,Shrub
572,BLM,Site,157,BLMSite157,KitFox,2,0,3,0.666666667,0,Shrub
576,BLM,Site,157,BLMSite157,KitFox,2,1,2,1,0.5,Shrub
577,BLM,Site,157,BLMSite157,KitFox,1,3,3,0.333333333,1,Shrub
609,BLM,Site,157,BLMSite157,KitFox,3,2,3,1,0.666666667,Shrub
610,BLM,Site,157,BLMSite157,KitFox,0,2,2,0,1,Shrub
302,BLM,Site,159,BLMSite159,KitFox,6,4,7,0.857142857,0.571428571,Shrub
311,BLM,Site,159,BLMSite159,KitFox,0,0,1,0,0,Shrub
596,BLM,Site,159,BLMSite159,KitFox,1,1,2,0.5,0.5,Shrub
629,BLM,Site,16,BLMSite16,KitFox,6,2,8,0.75,0.25,Shrub
636,BLM,Site,16,BLMSite16,KitFox,0,1,1,0,1,Shrub
637,BLM,Site,16,BLMSite16,KitFox,2,2,3,0.666666667,0.666666667,Shrub
674,BLM,Site,16,BLMSite16,KitFox,3,3,3,1,1,Shrub
402,BLM,Site,164,BLMSite164,KitFox,3,3,3,1,1,Shrub
409,BLM,Site,17,BLMSite17,KitFox,3,3,3,1,1,Shrub
424,BLM,Site,17,BLMSite17,KitFox,3,2,3,1,0.666666667,Shrub
425,BLM,Site,17,BLMSite17,KitFox,4,2,4,1,0.5,Shrub
431,BLM,Site,17,BLMSite17,KitFox,3,1,3,1,0.333333333,Shrub
432,BLM,Site,17,BLMSite17,KitFox,0,0,1,0,0,Shrub
434,BLM,Site,17,BLMSite17,KitFox,3,2,5,0.6,0.4,Shrub
437,BLM,Site,17,BLMSite17,KitFox,2,2,3,0.666666667,0.666666667,Shrub
568,BLM,Site,172,BLMSite172,KitFox,1,1,1,1,1,Shrub
569,BLM,Site,172,BLMSite172,KitFox,1,1,1,1,1,Shrub
570,BLM,Site,172,BLMSite172,KitFox,1,1,1,1,1,Shrub
578,BLM,Site,172,BLMSite172,KitFox,1,2,2,0.5,1,Shrub
585,BLM,Site,172,BLMSite172,KitFox,0,1,1,0,1,Shrub
586,BLM,Site,172,BLMSite172,KitFox,0,1,1,0,1,Shrub
879,BLM,Site,172,BLMSite172,KitFox,0,1,1,0,1,Shrub
36,BLM,Site,175,BLMSite175,KitFox,5,4,7,0.714285714,0.571428571,Shrub
37,BLM,Site,175,BLMSite175,KitFox,6,5,6,1,0.833333333,Shrub
38,BLM,Site,175,BLMSite175,KitFox,4,4,6,0.666666667,0.666666667,Shrub
39,BLM,Site,175,BLMSite175,KitFox,4,4,5,0.8,0.8,Shrub
41,BLM,Site,175,BLMSite175,KitFox,5,3,6,0.833333333,0.5,Shrub
42,BLM,Site,175,BLMSite175,KitFox,3,0,3,1,0,Shrub
73,BLM,Site,175,BLMSite175,KitFox,15,11,18,0.833333333,0.611111111,Shrub
74,BLM,Site,175,BLMSite175,KitFox,0,0,2,0,0,Shrub
78,BLM,Site,175,BLMSite175,KitFox,3,3,3,1,1,Shrub
79,BLM,Site,175,BLMSite175,KitFox,3,3,5,0.6,0.6,Shrub
101,BLM,Site,175,BLMSite175,KitFox,2,0,3,0.666666667,0,Shrub
563,BLM,Site,175,BLMSite175,KitFox,2,2,2,1,1,Shrub
564,BLM,Site,175,BLMSite175,KitFox,2,1,2,1,0.5,Shrub
579,BLM,Site,175,BLMSite175,KitFox,1,0,1,1,0,Shrub
583,BLM,Site,175,BLMSite175,KitFox,2,1,2,1,0.5,Shrub
584,BLM,Site,175,BLMSite175,KitFox,2,1,2,1,0.5,Shrub
588,BLM,Site,175,BLMSite175,KitFox,1,0,1,1,0,Shrub
590,BLM,Site,175,BLMSite175,KitFox,1,1,1,1,1,Shrub
591,BLM,Site,175,BLMSite175,KitFox,3,0,6,0.5,0,Shrub
597,BLM,Site,175,BLMSite175,KitFox,2,0,3,0.666666667,0,Shrub
602,BLM,Site,175,BLMSite175,KitFox,1,0,1,1,0,Shrub
606,BLM,Site,175,BLMSite175,KitFox,2,1,3,0.666666667,0.333333333,Shrub
863,BLM,Site,175,BLMSite175,KitFox,4,2,6,0.666666667,0.333333333,Shrub
897,BLM,Site,175,BLMSite175,KitFox,1,0,4,0.25,0,Shrub
909,BLM,Site,175,BLMSite175,KitFox,1,0,1,1,0,Shrub
303,BLM,Site,177,BLMSite177,KitFox,9,9,9,1,1,Shrub
304,BLM,Site,177,BLMSite177,KitFox,11,8,12,0.916666667,0.666666667,Shrub
305,BLM,Site,177,BLMSite177,KitFox,1,0,2,0.5,0,Shrub
309,BLM,Site,177,BLMSite177,KitFox,9,9,9,1,1,Shrub
351,BLM,Site,177,BLMSite177,KitFox,6,6,9,0.666666667,0.666666667,Shrub
353,BLM,Site,177,BLMSite177,KitFox,5,10,10,0.5,1,Shrub
357,BLM,Site,177,BLMSite177,KitFox,3,3,6,0.5,0.5,Shrub
844,BLM,Site,177,BLMSite177,KitFox,0,0,1,0,0,Shrub
850,BLM,Site,177,BLMSite177,KitFox,0,0,1,0,0,Shrub
851,BLM,Site,177,BLMSite177,KitFox,0,0,2,0,0,Shrub
880,BLM,Site,177,BLMSite177,KitFox,4,5,5,0.8,1,Shrub
881,BLM,Site,177,BLMSite177,KitFox,3,6,6,0.5,1,Shrub
895,BLM,Site,177,BLMSite177,KitFox,4,4,6,0.666666667,0.666666667,Shrub
899,BLM,Site,177,BLMSite177,KitFox,3,6,8,0.375,0.75,Shrub
912,BLM,Site,177,BLMSite177,KitFox,1,2,3,0.333333333,0.666666667,Shrub
963,BLM,Site,18,BLMSite18,KitFox,0,3,3,0,1,Shrub
533,BLM,Site,184,BLMSite184,KitFox,3,3,3,1,1,Shrub
539,BLM,Site,184,BLMSite184,KitFox,5,3,6,0.833333333,0.5,Shrub
551,BLM,Site,184,BLMSite184,KitFox,3,3,4,0.75,0.75,Shrub
552,BLM,Site,184,BLMSite184,KitFox,1,1,3,0.333333333,0.333333333,Shrub
589,BLM,Site,184,BLMSite184,KitFox,4,5,5,0.8,1,Shrub
600,BLM,Site,184,BLMSite184,KitFox,0,1,1,0,1,Shrub
612,BLM,Site,184,BLMSite184,KitFox,3,2,4,0.75,0.5,Shrub
310,BLM,Site,187,BLMSite187,KitFox,6,6,6,1,1,Shrub
55,BLM,Site,190,BLMSite190,KitFox,5,0,6,0.833333333,0,Shrub
56,BLM,Site,190,BLMSite190,KitFox,1,0,1,1,0,Shrub
126,BLM,Site,190,BLMSite190,KitFox,2,3,3,0.666666667,1,Shrub
131,BLM,Site,190,BLMSite190,KitFox,5,2,6,0.833333333,0.333333333,Shrub
170,BLM,Site,190,BLMSite190,KitFox,3,3,3,1,1,Shrub
201,BLM,Site,190,BLMSite190,KitFox,3,2,3,1,0.666666667,Shrub
207,BLM,Site,190,BLMSite190,KitFox,3,5,6,0.5,0.833333333,Shrub
947,BLM,Site,22,BLMSite22,KitFox,7,6,7,1,0.857142857,Shrub
953,BLM,Site,22,BLMSite22,KitFox,0,0,6,0,0,Shrub
401,BLM,Site,23,BLMSite23,KitFox,3,0,3,1,0,Shrub
438,BLM,Site,23,BLMSite23,KitFox,3,3,3,1,1,Shrub
397,BLM,Site,26,BLMSite26,KitFox,3,3,6,0.5,0.5,Shrub
412,BLM,Site,26,BLMSite26,KitFox,6,6,6,1,1,Shrub
154,BLM,Site,27,BLMSite27,KitFox,3,2,3,1,0.666666667,Shrub
188,BLM,Site,27,BLMSite27,KitFox,5,6,9,0.555555556,0.666666667,Shrub
203,BLM,Site,27,BLMSite27,KitFox,1,2,3,0.333333333,0.666666667,Shrub
386,BLM,Site,27,BLMSite27,KitFox,0,0,1,0,0,Shrub
389,BLM,Site,27,BLMSite27,KitFox,2,2,3,0.666666667,0.666666667,Shrub
404,BLM,Site,27,BLMSite27,KitFox,0,0,3,0,0,Shrub
71,BLM,Site,3,BLMSite3,KitFox,0,1,1,0,1,Shrub
88,BLM,Site,3,BLMSite3,KitFox,3,0,3,1,0,Shrub
89,BLM,Site,3,BLMSite3,KitFox,0,0,3,0,0,Shrub
120,BLM,Site,3,BLMSite3,KitFox,1,0,1,1,0,Shrub
652,BLM,Site,33,BLMSite33,KitFox,5,3,6,0.833333333,0.5,Shrub
676,BLM,Site,33,BLMSite33,KitFox,3,2,3,1,0.666666667,Shrub
840,BLM,Site,33,BLMSite33,KitFox,5,3,6,0.833333333,0.5,Shrub
841,BLM,Site,33,BLMSite33,KitFox,3,2,3,1,0.666666667,Shrub
949,BLM,Site,33,BLMSite33,KitFox,1,1,2,0.5,0.5,Shrub
950,BLM,Site,33,BLMSite33,KitFox,3,3,3,1,1,Shrub
951,BLM,Site,33,BLMSite33,KitFox,0,0,5,0,0,Shrub
952,BLM,Site,33,BLMSite33,KitFox,3,3,3,1,1,Shrub
973,BLM,Site,33,BLMSite33,KitFox,3,0,3,1,0,Shrub
977,BLM,Site,33,BLMSite33,KitFox,3,0,3,1,0,Shrub
978,BLM,Site,33,BLMSite33,KitFox,1,0,3,0.333333333,0,Shrub
983,BLM,Site,33,BLMSite33,KitFox,3,0,3,1,0,Shrub
1005,BLM,Site,33,BLMSite33,KitFox,3,1,3,1,0.333333333,Shrub
1006,BLM,Site,33,BLMSite33,KitFox,3,5,5,0.6,1,Shrub
100,BLM,Site,37,BLMSite37,KitFox,0,0,1,0,0,Shrub
938,BLM,Site,39,BLMSite39,KitFox,1,2,3,0.333333333,0.666666667,Shrub
940,BLM,Site,39,BLMSite39,KitFox,1,1,1,1,1,Shrub
964,BLM,Site,39,BLMSite39,KitFox,3,4,6,0.5,0.666666667,Shrub
969,BLM,Site,39,BLMSite39,KitFox,0,3,3,0,1,Shrub
970,BLM,Site,39,BLMSite39,KitFox,1,0,1,1,0,Shrub
974,BLM,Site,39,BLMSite39,KitFox,3,5,6,0.5,0.833333333,Shrub
988,BLM,Site,39,BLMSite39,KitFox,2,3,3,0.666666667,1,Shrub
343,BLM,Site,45,BLMSite45,KitFox,2,1,3,0.666666667,0.333333333,Shrub
1003,BLM,Site,45,BLMSite45,KitFox,1,3,3,0.333333333,1,Shrub
334,BLM,Site,46,BLMSite46,KitFox,3,1,6,0.5,0.166666667,Shrub
356,BLM,Site,46,BLMSite46,KitFox,1,1,2,0.5,0.5,Shrub
358,BLM,Site,46,BLMSite46,KitFox,4,4,4,1,1,Shrub
372,BLM,Site,46,BLMSite46,KitFox,3,0,3,1,0,Shrub
375,BLM,Site,46,BLMSite46,KitFox,3,3,3,1,1,Shrub
934,BLM,Site,49,BLMSite49,KitFox,7,11,11,0.636363636,1,Shrub
935,BLM,Site,49,BLMSite49,KitFox,3,3,3,1,1,Shrub
936,BLM,Site,49,BLMSite49,KitFox,6,6,8,0.75,0.75,Shrub
944,BLM,Site,49,BLMSite49,KitFox,3,2,3,1,0.666666667,Shrub
991,BLM,Site,49,BLMSite49,KitFox,6,6,6,1,1,Shrub
965,BLM,Site,52,BLMSite52,KitFox,1,6,6,0.166666667,1,Shrub
967,BLM,Site,52,BLMSite52,KitFox,1,3,3,0.333333333,1,Shrub
611,BLM,Site,53,BLMSite53,KitFox,1,0,2,0.5,0,Shrub
616,BLM,Site,53,BLMSite53,KitFox,4,2,5,0.8,0.4,Shrub
617,BLM,Site,53,BLMSite53,KitFox,2,1,3,0.666666667,0.333333333,Shrub
618,BLM,Site,53,BLMSite53,KitFox,0,0,1,0,0,Shrub
620,BLM,Site,53,BLMSite53,KitFox,1,1,1,1,1,Shrub
625,BLM,Site,53,BLMSite53,KitFox,1,0,3,0.333333333,0,Shrub
626,BLM,Site,53,BLMSite53,KitFox,1,3,3,0.333333333,1,Shrub
639,BLM,Site,53,BLMSite53,KitFox,2,1,2,1,0.5,Shrub
658,BLM,Site,53,BLMSite53,KitFox,0,1,1,0,1,Shrub
925,BLM,Site,54,BLMSite54,KitFox,2,0,2,1,0,Shrub
926,BLM,Site,54,BLMSite54,KitFox,0,0,1,0,0,Shrub
958,BLM,Site,54,BLMSite54,KitFox,0,0,5,0,0,Shrub
985,BLM,Site,54,BLMSite54,KitFox,2,3,3,0.666666667,1,Shrub
867,BLM,Site,59,BLMSite59,KitFox,7,6,9,0.777777778,0.666666667,Shrub
908,BLM,Site,59,BLMSite59,KitFox,8,9,12,0.666666667,0.75,Shrub
916,BLM,Site,59,BLMSite59,KitFox,3,3,3,1,1,Shrub
338,BLM,Site,60,BLMSite60,KitFox,4,5,6,0.666666667,0.833333333,Shrub
339,BLM,Site,60,BLMSite60,KitFox,0,0,1,0,0,Shrub
373,BLM,Site,60,BLMSite60,KitFox,9,9,9,1,1,Shrub
374,BLM,Site,60,BLMSite60,KitFox,3,4,4,0.75,1,Shrub
924,BLM,Site,60,BLMSite60,KitFox,5,3,7,0.714285714,0.428571429,Shrub
955,BLM,Site,60,BLMSite60,KitFox,3,3,6,0.5,0.5,Shrub
981,BLM,Site,60,BLMSite60,KitFox,2,3,3,0.666666667,1,Shrub
941,BLM,Site,61,BLMSite61,KitFox,0,3,3,0,1,Shrub
942,BLM,Site,61,BLMSite61,KitFox,0,0,3,0,0,Shrub
957,BLM,Site,61,BLMSite61,KitFox,1,1,1,1,1,Shrub
989,BLM,Site,61,BLMSite61,KitFox,5,4,6,0.833333333,0.666666667,Shrub
992,BLM,Site,61,BLMSite61,KitFox,0,3,3,0,1,Shrub
993,BLM,Site,61,BLMSite61,KitFox,1,1,1,1,1,Shrub
376,BLM,Site,65,BLMSite65,KitFox,1,1,3,0.333333333,0.333333333,Shrub
411,BLM,Site,65,BLMSite65,KitFox,2,1,3,0.666666667,0.333333333,Shrub
417,BLM,Site,65,BLMSite65,KitFox,1,1,1,1,1,Shrub
419,BLM,Site,65,BLMSite65,KitFox,2,2,2,1,1,Shrub
613,BLM,Site,67,BLMSite67,KitFox,3,1,3,1,0.333333333,Shrub
642,BLM,Site,68,BLMSite68,KitFox,2,0,4,0.5,0,Shrub
659,BLM,Site,68,BLMSite68,KitFox,0,0,2,0,0,Shrub
945,BLM,Site,69,BLMSite69,KitFox,3,0,3,1,0,Shrub
67,BLM,Site,74,BLMSite74,KitFox,4,2,9,0.444444444,0.222222222,Shrub
80,BLM,Site,74,BLMSite74,KitFox,5,1,6,0.833333333,0.166666667,Shrub
135,BLM,Site,74,BLMSite74,KitFox,5,0,6,0.833333333,0,Shrub
140,BLM,Site,74,BLMSite74,KitFox,3,0,3,1,0,Shrub
144,BLM,Site,74,BLMSite74,KitFox,3,0,3,1,0,Shrub
157,BLM,Site,74,BLMSite74,KitFox,3,0,3,1,0,Shrub
194,BLM,Site,74,BLMSite74,KitFox,4,6,6,0.666666667,1,Shrub
608,BLM,Site,75,BLMSite75,KitFox,1,0,1,1,0,Shrub
54,BLM,Site,76,BLMSite76,KitFox,0,1,1,0,1,Shrub
58,BLM,Site,76,BLMSite76,KitFox,1,1,5,0.2,0.2,Shrub
145,BLM,Site,76,BLMSite76,KitFox,3,3,3,1,1,Shrub
197,BLM,Site,76,BLMSite76,KitFox,0,0,3,0,0,Shrub
314,BLM,Site,76,BLMSite76,KitFox,3,2,3,1,0.666666667,Shrub
326,BLM,Site,76,BLMSite76,KitFox,3,1,3,1,0.333333333,Shrub
327,BLM,Site,76,BLMSite76,KitFox,3,1,3,1,0.333333333,Shrub
332,BLM,Site,76,BLMSite76,KitFox,9,9,9,1,1,Shrub
558,BLM,Site,76,BLMSite76,KitFox,0,2,2,0,1,Shrub
593,BLM,Site,76,BLMSite76,KitFox,2,5,5,0.4,1,Shrub
594,BLM,Site,76,BLMSite76,KitFox,0,2,2,0,1,Shrub
607,BLM,Site,76,BLMSite76,KitFox,2,2,3,0.666666667,0.666666667,Shrub
847,BLM,Site,76,BLMSite76,KitFox,4,4,4,1,1,Shrub
871,BLM,Site,76,BLMSite76,KitFox,4,5,5,0.8,1,Shrub
872,BLM,Site,76,BLMSite76,KitFox,3,3,5,0.6,0.6,Shrub
873,BLM,Site,76,BLMSite76,KitFox,3,3,3,1,1,Shrub
874,BLM,Site,76,BLMSite76,KitFox,2,5,5,0.4,1,Shrub
901,BLM,Site,76,BLMSite76,KitFox,3,3,3,1,1,Shrub
325,BLM,Site,77,BLMSite77,KitFox,3,3,3,1,1,Shrub
929,BLM,Site,77,BLMSite77,KitFox,2,1,4,0.5,0.25,Shrub
932,BLM,Site,77,BLMSite77,KitFox,1,0,3,0.333333333,0,Shrub
933,BLM,Site,77,BLMSite77,KitFox,0,3,3,0,1,Shrub
939,BLM,Site,77,BLMSite77,KitFox,1,3,6,0.166666667,0.5,Shrub
943,BLM,Site,77,BLMSite77,KitFox,2,3,3,0.666666667,1,Shrub
984,BLM,Site,77,BLMSite77,KitFox,2,1,3,0.666666667,0.333333333,Shrub
1004,BLM,Site,77,BLMSite77,KitFox,2,1,5,0.4,0.2,Shrub
1008,BLM,Site,77,BLMSite77,KitFox,0,3,3,0,1,Shrub
377,BLM,Site,80,BLMSite80,KitFox,2,3,3,0.666666667,1,Shrub
634,BLM,Site,80,BLMSite80,KitFox,3,3,3,1,1,Shrub
422,BLM,Site,81,BLMSite81,KitFox,0,1,3,0,0.333333333,Shrub
81,BLM,Site,83,BLMSite83,KitFox,6,3,12,0.5,0.25,Shrub
107,BLM,Site,83,BLMSite83,KitFox,6,6,6,1,1,Shrub
119,BLM,Site,84,BLMSite84,KitFox,5,6,9,0.555555556,0.666666667,Shrub
171,BLM,Site,84,BLMSite84,KitFox,7,3,9,0.777777778,0.333333333,Shrub
176,BLM,Site,84,BLMSite84,KitFox,10,8,12,0.833333333,0.666666667,Shrub
177,BLM,Site,84,BLMSite84,KitFox,0,0,2,0,0,Shrub
178,BLM,Site,84,BLMSite84,KitFox,2,4,4,0.5,1,Shrub
179,BLM,Site,84,BLMSite84,KitFox,0,0,1,0,0,Shrub
180,BLM,Site,84,BLMSite84,KitFox,1,0,3,0.333333333,0,Shrub
181,BLM,Site,84,BLMSite84,KitFox,0,0,1,0,0,Shrub
182,BLM,Site,84,BLMSite84,KitFox,0,0,3,0,0,Shrub
190,BLM,Site,84,BLMSite84,KitFox,4,5,6,0.666666667,0.833333333,Shrub
622,BLM,Site,84,BLMSite84,KitFox,0,0,1,0,0,Shrub
627,BLM,Site,84,BLMSite84,KitFox,0,0,1,0,0,Shrub
307,BLM,Site,88,BLMSite88,KitFox,0,1,1,0,1,Shrub
318,BLM,Site,88,BLMSite88,KitFox,1,1,1,1,1,Shrub
320,BLM,Site,88,BLMSite88,KitFox,1,1,1,1,1,Shrub
322,BLM,Site,88,BLMSite88,KitFox,1,1,2,0.5,0.5,Shrub
324,BLM,Site,88,BLMSite88,KitFox,0,0,1,0,0,Shrub
846,BLM,Site,88,BLMSite88,KitFox,4,3,6,0.666666667,0.5,Shrub
604,BLM,Site,89,BLMSite89,KitFox,0,0,2,0,0,Shrub
360,BLM,Site,90,BLMSite90,KitFox,3,3,3,1,1,Shrub
852,BLM,Site,90,BLMSite90,KitFox,1,3,6,0.166666667,0.5,Shrub
922,BLM,Site,90,BLMSite90,KitFox,0,3,3,0,1,Shrub
529,BLM,Site,91,BLMSite91,KitFox,5,3,6,0.833333333,0.5,Shrub
538,BLM,Site,91,BLMSite91,KitFox,0,1,1,0,1,Shrub
